time_ms,time_ts,chatter
1762295619805,1762295619.805290,"-- Current Config --"
1762295619805,1762295619.805542,"MOTOR_STEP_DEG=1.800"
1762295619808,1762295619.808464,"WHEEL_DIAM_IN=3.750"
1762295619808,1762295619.808549,"ACCEL_FT=4.000"
1762295619808,1762295619.808612,"CRUISE_FT=10.000"
1762295619808,1762295619.808948,"DECEL_FT=4.000"
1762295619809,1762295619.809003,"VMAX_FPS=3.000"
1762295619809,1762295619.809062,"PAUSE_MS=10000"
1762295619809,1762295619.809364,"REWIND_TIME_S=30"
1762295619809,1762295619.809415,"DIR_INV=0"
1762295619809,1762295619.809724,"RATE_HZ=200"
1762295619809,1762295619.809773,"REWIND_CAL_IN=1.000"
1762295622846,1762295622.846266,"WHISTLE!"
1762295623859,1762295623.859700,"1"
1762295625067,1762295625.067724,"START t_ms=1714296, t_s=1714.30"
1714901,1762295625.725457,"0.06967,1714931"
1715711,1762295626.527236,"0.07224,1715731"
1715976,1762295626.789156,"0.12085,0.07371,1716006"
1716251,1762295627.045950,"0.14195,0.08768,1716266"
1716771,1762295627.574105,"0.12366,1716786"
1721016,1762295631.841823,"3.00000,0.00000,1721041"
1726346,1762295637.184369,"0.00000,0.00000,1726371"
1729066,1762295639.919654,"18.00034,0.00000,0.00000,1729101"
1731831,1762295642.676838,"0.00000,0.00000,1731861"
1732376,1762295643.224790,"0.00000,0.00000,1732406"
1733191,1762295644.032660,"0.00000,1733216"
1733461,1762295644.312694,"0.00000,1733481"
1734291,1762295645.144594,"0.00000,1734316"
1734561,1762295645.417943,"0.00000,1734591"
1735666,1762295646.529553,"0.00000,1735696"
1736221,1762295647.067394,"0.00000,1736251"
1737026,1762295647.882412,"1.00000,0.00000,1737051"
1737576,1762295648.450718,"1.00000,0.00000,1737616"
1738141,1762295649.002638,"15.85032,-1.00000,0.00000,1738171"
1741216,1762295652.064176,"0.00000,1741236"
1742611,1762295653.488358,"1.00000,0.00000,1742651"
1743721,1762295654.625294,"1.00000,0.00000,1743771"
1746766,1762295657.640709,"1.00000,0.00000,1746811"
1750771,1762295661.661697,"1.00000,0.00000,1750816"
1751631,1762295662.499190,"0.00000,1751656"
1752711,1762295663.581262,"0.00000,1752726"
1753951,1762295664.575060,"=== RUN END ==="
1753951,1762295664.609226,"Type START to run again, or SHOW to view config."
