time_ms,time_ts,chatter
1762287855444,1762287855.444262,"-- Current Config --"
1762287855444,1762287855.444439,"MOTOR_STEP_DEG=1.800"
1762287855444,1762287855.444548,"WHEEL_DIAM_IN=3.750"
1762287855444,1762287855.444986,"ACCEL_FT=4.000"
1762287855445,1762287855.445097,"CRUISE_FT=10.000"
1762287855445,1762287855.445907,"DECEL_FT=4.000"
1762287855447,1762287855.447189,"VMAX_FPS=6.000"
1762287855447,1762287855.447315,"PAUSE_MS=10000"
1762287855447,1762287855.447361,"REWIND_TIME_S=30"
1762287855447,1762287855.447400,"DIR_INV=0"
1762287855447,1762287855.447436,"RATE_HZ=200"
1762287855447,1762287855.447468,"REWIND_CAL_IN=1.000"
1762287855504,1762287855.504598,"START received."
1762287855504,1762287855.504981,"=== PLAN (before motion) ==="
1762287855505,1762287855.505301,"Wheel dia=3.750 in, circ=0.98175 ft"
1762287855506,1762287855.506262,"steps/rev=200.0, steps/ft=203.72"
1762287855506,1762287855.506322,"Vpeak (ft/s)=6.000"
1762287855506,1762287855.506374,"Accel a (ft/s^2)=4.499"
1762287855506,1762287855.506427,"Decel d (ft/s^2)=4.499"
1762287855506,1762287855.506572,"Times: accel≈1.33s, cruise≈1.67s, decel≈1.33s, pause=10s, rewind≈30.00s, TOTAL≈44.33s"
1762287855507,1762287855.507741,"Rewind early-stop (in): 1.000"
1762287855507,1762287855.507792,"=== END PLAN ==="
1762287855507,1762287855.507835,"=== COUNTDOWN ==="
1762287855507,1762287855.507880,"5"
1762287856508,1762287856.508102,"4"
1762287857494,1762287857.494562,"3"
1762287858498,1762287858.498805,"WHISTLE!"
1762287859503,1762287859.503555,"1"
1762287860727,1762287860.727296,"START t_ms=118173, t_s=118.17"
119063,1762287861.642341,"0.15294,119088"
119852,1762287862.423167,"0.40019,119867"
125432,1762287868.028087,"0.00000,125462"
125707,1762287868.295341,"0.00000,0.00000,125722"
126522,1762287869.141570,"0.00000,0.00000,126562"
127617,1762287870.201944,"0.00000,127632"
133412,1762287876.027707,"0.00000,133437"
134212,1762287876.828319,"0.00000,0.00000,134232"
136387,1762287879.008090,"1.00000,0.00000,136412"
139152,1762287881.779321,"0.00000,139167"
140782,1762287883.413001,"0.00000,140807"
143572,1762287886.193161,"0.00000,143587"
147602,1762287890.228520,"0.00000,147617"
147862,1762287890.518565,"0.00000,147882"
148722,1762287891.387210,"1.00000,0.00000,148772"
149557,1762287892.195104,"1.00000,0.00000,149587"
149832,1762287892.479939,"0.00000,149847"
150382,1762287893.042008,"0.00000,150412"
152657,1762287895.105950,"1.00000,0.00000,152682"
152657,1762287895.106124,"=== RUN END ==="
152657,1762287895.157579,"Type START to run again, or SHOW to view config."
