time_ms,time_ts,chatter
1762293855658,1762293855.658964,"-- Current Config --"
1762293855659,1762293855.659134,"MOTOR_STEP_DEG=1.800"
1762293855659,1762293855.659204,"WHEEL_DIAM_IN=3.750"
1762293855661,1762293855.661884,"ACCEL_FT=4.000"
1762293855661,1762293855.661971,"CRUISE_FT=10.000"
1762293855662,1762293855.662033,"DECEL_FT=4.000"
1762293855662,1762293855.662350,"VMAX_FPS=6.000"
1762293855662,1762293855.662410,"PAUSE_MS=10000"
1762293855662,1762293855.662819,"REWIND_TIME_S=30"
1762293855663,1762293855.663007,"DIR_INV=0"
1762293855663,1762293855.663417,"RATE_HZ=200"
1762293855664,1762293855.664319,"REWIND_CAL_IN=1.000"
1762293856701,1762293856.701941,"4"
1762293857697,1762293857.697813,"3"
1762293858712,1762293858.712577,"WHISTLE!"
1762293859703,1762293859.703284,"1"
1762293860923,1762293860.923679,"START t_ms=140312, t_s=140.31"
147836,1762293868.498847,"0.00000,0.00000,147871"
151601,1762293872.260942,"0.00000,0.00000,151626"
152931,1762293873.601434,"0.00000,152961"
153206,1762293873.868589,"0.00000,153221"
154286,1762293874.965481,"0.00000,0.00000,154301"
155111,1762293875.808566,"0.00000,0.00000,155146"
159251,1762293879.952208,"1.00000,0.00000,159286"
161746,1762293882.431173,"13.10633,-1.00000,0.00000,161776"
163646,1762293884.356468,"1.00000,0.00000,163676"
164206,1762293884.919842,"10.62742,-1.00000,0.00000,164241"
165031,1762293885.710136,"0.00000,165046"
165291,1762293885.970491,"1.00000,0.00000,165311"
165556,1762293886.240198,"0.00000,165571"
165816,1762293886.516730,"1.00000,0.00000,165841"
167801,1762293888.486501,"1.00000,0.00000,167826"
168616,1762293889.368906,"0.00000,168671"
170671,1762293891.378061,"1.00000,0.00000,170696"
170941,1762293891.681858,"0.00000,170971"
174821,1762293895.311716,"=== RUN END ==="
174821,1762293895.363475,"Type START to run again, or SHOW to view config."
