time_ms,time_ts,chatter
1762293786321,1762293786.321016,"-- Current Config --"
1762293786321,1762293786.321158,"MOTOR_STEP_DEG=1.800"
1762293786321,1762293786.321242,"WHEEL_DIAM_IN=3.750"
1762293786321,1762293786.321308,"ACCEL_FT=4.000"
1762293786322,1762293786.322155,"CRUISE_FT=10.000"
1762293786324,1762293786.324132,"DECEL_FT=4.000"
1762293786324,1762293786.324217,"VMAX_FPS=6.000"
1762293786324,1762293786.324280,"PAUSE_MS=10000"
1762293786324,1762293786.324589,"REWIND_TIME_S=30"
1762293786324,1762293786.324647,"DIR_INV=0"
1762293786324,1762293786.324692,"RATE_HZ=200"
1762293786324,1762293786.324983,"REWIND_CAL_IN=1.000"
1762293786377,1762293786.377252,"START received."
1762293786380,1762293786.380702,"=== PLAN (before motion) ==="
1762293786381,1762293786.381115,"Wheel dia=3.750 in, circ=0.98175 ft"
1762293786381,1762293786.381263,"steps/rev=200.0, steps/ft=203.72"
1762293786381,1762293786.381322,"Vpeak (ft/s)=6.000"
1762293786382,1762293786.382152,"Accel a (ft/s^2)=4.499"
1762293786382,1762293786.382310,"Decel d (ft/s^2)=4.499"
1762293786382,1762293786.382799,"Times: accel≈1.33s, cruise≈1.67s, decel≈1.33s, pause=10s, rewind≈30.00s, TOTAL≈44.33s"
1762293786383,1762293786.383868,"Rewind early-stop (in): 1.000"
1762293786383,1762293786.383920,"=== END PLAN ==="
1762293786383,1762293786.383969,"=== COUNTDOWN ==="
1762293786384,1762293786.384015,"5"
1762293787373,1762293787.373467,"4"
1762293788374,1762293788.374734,"3"
1762293790380,1762293790.380081,"1"
1762293791597,1762293791.597397,"START t_ms=71091, t_s=71.09"
71965,1762293792.519090,"0.14586,71985"
74650,1762293795.182818,"3.27904,5.07112,7.30738,74665"
77300,1762293797.864748,"2.84802,77325"
79455,1762293800.005809,"0.00000,0.00000,79480"
80785,1762293801.344399,"0.00000,0.00000,80815"
81840,1762293802.394701,"0.00000,81865"
82645,1762293803.201082,"0.00000,0.00000,82670"
82915,1762293803.487656,"0.00000,82935"
87840,1762293808.419739,"1.00000,0.00000,87865"
89465,1762293810.059357,"0.00000,89500"
91125,1762293811.693827,"0.00000,91150"
92495,1762293813.074348,"0.00000,92510"
94735,1762293815.334557,"1.00000,0.00000,94770"
98335,1762293818.919957,"0.00000,98350"
105150,1762293825.751881,"0.00000,105170"
105600,1762293825.972267,"=== RUN END ==="
105600,1762293826.020445,"Type START to run again, or SHOW to view config."
