time_ms,time_ts,chatter
1762295516761,1762295516.761382,"-- Current Config --"
1762295516762,1762295516.762599,"MOTOR_STEP_DEG=1.800"
1762295516762,1762295516.762681,"WHEEL_DIAM_IN=3.750"
1762295516762,1762295516.762743,"ACCEL_FT=4.000"
1762295516762,1762295516.762805,"CRUISE_FT=10.000"
1762295516765,1762295516.765501,"DECEL_FT=4.000"
1762295516765,1762295516.765580,"VMAX_FPS=3.000"
1762295516765,1762295516.765645,"PAUSE_MS=10000"
1762295516765,1762295516.765961,"REWIND_TIME_S=30"
1762295516766,1762295516.766025,"DIR_INV=0"
1762295516766,1762295516.766347,"RATE_HZ=200"
1762295516766,1762295516.766389,"REWIND_CAL_IN=1.000"
1762295516766,1762295516.766432,"START received."
1762295516767,1762295516.767187,"=== PLAN (before motion) ==="
1762295516771,1762295516.771328,"Wheel dia=3.750 in, circ=0.98175 ft"
1762295516771,1762295516.771396,"steps/rev=200.0, steps/ft=203.72"
1762295516771,1762295516.771445,"Vpeak (ft/s)=3.000"
1762295516771,1762295516.771756,"Accel a (ft/s^2)=1.125"
1762295516771,1762295516.771814,"Decel d (ft/s^2)=1.125"
1762295516772,1762295516.772118,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762295516772,1762295516.772174,"Rewind early-stop (in): 1.000"
1762295516772,1762295516.772214,"=== END PLAN ==="
1762295516772,1762295516.772503,"=== COUNTDOWN ==="
1762295516772,1762295516.772572,"5"
1762295517726,1762295517.726166,"4"
1762295518723,1762295518.723606,"3"
1762295520723,1762295520.723752,"1"
1762295521945,1762295521.945002,"START t_ms=1611334, t_s=1611.33"
1612199,1762295522.846062,"0.07048,1612224"
1614864,1762295525.527891,"0.39122,0.27381,1614889"
1617784,1762295528.452748,"4.87438,3.00000,0.00000,1617809"
1619129,1762295529.818170,"3.00000,0.00000,1619169"
1623754,1762295534.435548,"0.00000,1623784"
1624029,1762295534.709800,"0.00000,1624059"
1624854,1762295535.530069,"0.00000,0.00000,1624884"
1626764,1762295537.451749,"0.00000,0.00000,1626784"
1627314,1762295538.006762,"0.00000,1627344"
1629004,1762295539.704798,"0.00000,0.00000,1629039"
1629564,1762295540.262600,"0.00000,1629604"
1629849,1762295540.531166,"0.00000,0.00000,1629874"
1630119,1762295540.790659,"0.00000,0.00000,1630144"
1631749,1762295542.431905,"0.00000,1631764"
1632569,1762295543.245648,"0.00000,0.00000,1632594"
1633384,1762295544.078595,"17.65673,-1.00000,0.00000,1633414"
1638119,1762295548.812982,"0.00000,1638154"
1638399,1762295549.099788,"1.00000,0.00000,1638414"
1641409,1762295552.114764,"0.00000,1641449"
1642514,1762295553.194667,"0.00000,1642529"
1643039,1762295553.763839,"0.00000,1643079"
1643864,1762295554.558823,"0.00000,1643879"
1647649,1762295558.368493,"3.32322,-1.00000,0.00000,1647679"
1650154,1762295560.911124,"1.00000,0.00000,1650194"
1650989,1762295561.456867,"=== RUN END ==="
1650989,1762295561.502968,"Type START to run again, or SHOW to view config."
