time_ms,time_ts,chatter
1762290281811,1762290281.811042,"-- Current Config --"
1762290281811,1762290281.811321,"MOTOR_STEP_DEG=1.800"
1762290281814,1762290281.814367,"WHEEL_DIAM_IN=3.750"
1762290281814,1762290281.814897,"ACCEL_FT=4.000"
1762290281815,1762290281.815356,"CRUISE_FT=10.000"
1762290281815,1762290281.815771,"DECEL_FT=4.000"
1762290281816,1762290281.816118,"VMAX_FPS=6.000"
1762290281816,1762290281.816208,"PAUSE_MS=10000"
1762290281817,1762290281.817544,"REWIND_TIME_S=30"
1762290281817,1762290281.817658,"DIR_INV=0"
1762290281817,1762290281.817725,"RATE_HZ=200"
1762290281817,1762290281.817790,"REWIND_CAL_IN=1.000"
1762290282853,1762290282.853846,"4"
1762290283859,1762290283.859598,"3"
1762290285855,1762290285.855160,"1"
64050,1762290294.703788,"0.00000,0.00000,64070"
65690,1762290296.345574,"0.00000,65730"
66795,1762290297.451562,"0.00000,66830"
67075,1762290297.707680,"0.00000,67090"
71740,1762290302.418133,"0.00000,71770"
72295,1762290302.980958,"0.00000,72335"
72860,1762290303.536692,"0.00000,0.00000,72885"
74550,1762290305.228738,"16.47863,-1.00000,0.00000,74580"
75380,1762290306.065935,"1.00000,0.00000,75420"
76500,1762290307.195920,"1.00000,0.00000,76545"
76790,1762290307.462656,"0.00000,76820"
77605,1762290308.271383,"1.00000,0.00000,77635"
77880,1762290308.550390,"0.00000,77895"
80930,1762290311.641318,"0.00000,80975"
82370,1762290313.039901,"0.00000,82390"
83485,1762290314.166137,"0.00000,83505"
86505,1762290317.196038,"4.46695,-1.00000,0.00000,86535"
87055,1762290317.716769,"1.00000,0.00000,87070"
87850,1762290318.543750,"0.00000,87895"
90830,1762290321.434515,"1.00000,0.00000,90860"
90985,1762290321.439348,"=== RUN END ==="
90985,1762290321.504751,"Type START to run again, or SHOW to view config."
