time_ms,time_ts,chatter
1762290884927,1762290884.927593,"-- Current Config --"
1762290884927,1762290884.927740,"MOTOR_STEP_DEG=1.800"
1762290884927,1762290884.927799,"WHEEL_DIAM_IN=3.750"
1762290884927,1762290884.927863,"ACCEL_FT=4.000"
1762290884930,1762290884.930582,"CRUISE_FT=10.000"
1762290884930,1762290884.930719,"DECEL_FT=4.000"
1762290884931,1762290884.931093,"VMAX_FPS=3.000"
1762290884931,1762290884.931137,"PAUSE_MS=10000"
1762290884931,1762290884.931208,"REWIND_TIME_S=30"
1762290884931,1762290884.931266,"DIR_INV=0"
1762290884931,1762290884.931616,"RATE_HZ=200"
1762290884932,1762290884.932039,"REWIND_CAL_IN=1.000"
1762290884981,1762290884.981491,"START received."
1762290884984,1762290884.984753,"=== PLAN (before motion) ==="
1762290884989,1762290884.989744,"Wheel dia=3.750 in, circ=0.98175 ft"
1762290884989,1762290884.989820,"steps/rev=200.0, steps/ft=203.72"
1762290884990,1762290884.990143,"Vpeak (ft/s)=3.000"
1762290884990,1762290884.990192,"Accel a (ft/s^2)=1.125"
1762290884990,1762290884.990247,"Decel d (ft/s^2)=1.125"
1762290884990,1762290884.990600,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762290884990,1762290884.990668,"Rewind early-stop (in): 1.000"
1762290884990,1762290884.990981,"=== END PLAN ==="
1762290884991,1762290884.991029,"=== COUNTDOWN ==="
1762290884991,1762290884.991332,"5"
1762290885985,1762290885.985071,"4"
1762290886983,1762290886.983398,"3"
1762290887987,1762290887.987137,"WHISTLE!"
1762290888991,1762290888.991352,"1"
1762290890210,1762290890.210809,"START t_ms=390601, t_s=390.60"
398950,1762290898.605306,"0.00000,398975"
402430,1762290902.080398,"0.00000,402445"
405700,1762290905.370610,"0.00000,0.00000,405735"
407090,1762290906.774367,"0.00000,407120"
407365,1762290907.042842,"0.00000,0.00000,407400"
408470,1762290908.152316,"0.00000,408500"
408745,1762290908.426770,"18.00034,0.00000,0.00000,408775"
410380,1762290910.063843,"18.00034,0.00000,0.00000,410405"
411765,1762290911.438919,"0.00000,411780"
415085,1762290914.785731,"0.00000,415125"
419190,1762290918.875507,"11.07902,-1.00000,0.00000,419225"
424665,1762290924.353872,"5.60087,-1.00000,0.00000,424680"
426835,1762290926.536301,"1.00000,0.00000,426860"
429580,1762290929.318704,"0.00000,429625"
430255,1762290929.711624,"=== RUN END ==="
430255,1762290929.760204,"Type START to run again, or SHOW to view config."
